Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Baja California Sur,La Paz,3.00,0.00,0.00,0.00,0,2018,11,6
Colima,Manzanillo,1.40,0.00,0.00,0.00,0,2018,11,6
Durango,Durango,12.00,0.00,0.00,0.00,0,2018,11,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2018,11,6
Durango,Nombre de Dios,165.00,0.00,0.00,0.00,0,2018,11,6
Durango,Súchil,50.00,0.00,0.00,0.00,0,2018,11,6
Durango,Vicente Guerrero,45.00,0.00,0.00,0.00,0,2018,11,6
Guanajuato,Abasolo,241.00,205.00,0.00,"9,774.00",47.68,2018,11,6
Guanajuato,Acámbaro,91.00,40.00,0.00,"1,960.80",49.02,2018,11,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2018,11,6
Guanajuato,Apaseo El Alto,3.00,3.00,0.00,235.00,78.33,2018,11,6
Guanajuato,Apaseo El Grande,9.00,8.00,0.00,478.25,59.78,2018,11,6
Guanajuato,Manuel Doblado,420.00,120.00,0.00,"10,800.00",90.00,2018,11,6
Guanajuato,Comonfort,66.00,66.00,0.00,"4,227.85",64.06,2018,11,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2018,11,6
Guanajuato,Cuerámaro,115.00,104.00,0.00,"5,606.00",53.90,2018,11,6
Guanajuato,Guanajuato,21.00,2.00,0.00,174.00,87.00,2018,11,6
Guanajuato,Huanímaro,160.00,142.00,0.00,"6,571.00",46.27,2018,11,6
Guanajuato,Irapuato,59.30,34.00,0.00,"1,412.02",41.53,2018,11,6
Guanajuato,Jerécuaro,232.00,70.00,0.00,"4,760.00",68.00,2018,11,6
Guanajuato,León,165.00,0.00,0.00,0.00,0,2018,11,6
Guanajuato,Pénjamo,930.00,660.00,0.00,"22,054.00",33.42,2018,11,6
Guanajuato,Pueblo Nuevo,52.00,37.00,0.00,"1,230.62",33.26,2018,11,6
Guanajuato,Purísima del Rincón,530.00,110.00,0.00,"9,922.00",90.20,2018,11,6
Guanajuato,Romita,"3,050.00",749.00,0.00,"66,661.00",89.00,2018,11,6
Guanajuato,Salamanca,24.00,0.00,0.00,0.00,0,2018,11,6
Guanajuato,San Felipe,"5,250.00",950.00,0.00,"26,125.00",27.50,2018,11,6
Guanajuato,San Francisco del Rincón,540.00,80.00,0.00,"7,280.00",91.00,2018,11,6
Guanajuato,Santa Cruz de Juventino Rosas,12.00,11.00,0.00,148.40,13.49,2018,11,6
Guanajuato,Silao de La Victoria,204.00,75.00,0.00,"6,487.50",86.50,2018,11,6
Guanajuato,Tarimoro,9.00,7.00,0.00,536.25,76.61,2018,11,6
Guanajuato,Valle de Santiago,15.00,10.00,0.00,900.00,90.00,2018,11,6
Guerrero,Ahuacuotzingo,40.00,0.00,0.00,0.00,0,2018,11,6
Guerrero,Atenango del Río,30.00,2.00,0.00,70.24,35.12,2018,11,6
