Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Baja California Sur,La Paz,3.00,0.00,0.00,0.00,0,2019,4,6
Colima,Manzanillo,1.40,0.00,0.00,0.00,0,2019,4,6
Durango,Durango,12.00,0.00,0.00,0.00,0,2019,4,6
Durango,Mezquital,110.00,0.00,0.00,0.00,0,2019,4,6
Durango,Nombre de Dios,165.00,0.00,0.00,0.00,0,2019,4,6
Durango,Santiago Papasquiaro,28.05,0.00,0.00,0.00,0,2019,4,6
Durango,Súchil,50.00,0.00,0.00,0.00,0,2019,4,6
Durango,Vicente Guerrero,45.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,Abasolo,500.00,20.00,0.00,"1,480.00",74.00,2019,4,6
Guanajuato,San Miguel de Allende,10.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,Apaseo El Alto,15.00,3.00,0.00,184.95,61.65,2019,4,6
Guanajuato,Apaseo El Grande,20.00,4.00,0.00,248.60,62.15,2019,4,6
Guanajuato,Manuel Doblado,700.00,50.00,0.00,"4,600.00",92.00,2019,4,6
Guanajuato,Comonfort,33.00,6.00,0.00,245.00,40.83,2019,4,6
Guanajuato,Cortazar,6.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,Cuerámaro,580.00,10.00,0.00,700.00,70.00,2019,4,6
Guanajuato,Guanajuato,30.00,4.00,0.00,325.44,81.36,2019,4,6
Guanajuato,Huanímaro,"1,360.00",33.00,0.00,"2,409.00",73.00,2019,4,6
Guanajuato,Irapuato,87.50,0.00,0.00,0.00,0,2019,4,6
Guanajuato,Jerécuaro,17.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,León,196.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,Pénjamo,"1,120.00",37.00,0.00,"2,585.00",69.86,2019,4,6
Guanajuato,Pueblo Nuevo,43.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,Purísima del Rincón,640.00,60.00,0.00,"5,460.00",91.00,2019,4,6
Guanajuato,Romita,"3,780.00",248.00,0.00,"21,439.60",86.45,2019,4,6
Guanajuato,Salamanca,24.00,0.00,0.00,0.00,0,2019,4,6
Guanajuato,San Felipe,"2,625.00",0.00,0.00,0.00,0,2019,4,6
Guanajuato,San Francisco del Rincón,"1,600.00",35.00,0.00,"3,150.00",90.00,2019,4,6
Guanajuato,Santa Cruz de Juventino Rosas,10.00,1.50,0.00,63.65,42.43,2019,4,6
Guanajuato,Silao de La Victoria,259.00,35.00,0.00,"3,059.00",87.40,2019,4,6
Guanajuato,Tarimoro,10.00,2.00,0.00,135.25,67.63,2019,4,6
Guanajuato,Valle de Santiago,63.40,0.00,0.00,0.00,0,2019,4,6
Guerrero,Ahuacuotzingo,40.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Atenango del Río,27.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Copalillo,2.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Cuetzala del Progreso,11.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Chilapa de Álvarez,19.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Chilpancingo de Los Bravo,147.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,General Heliodoro Castillo,62.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Huitzuco de Los Figueroa,54.00,3.45,0.00,103.00,29.86,2019,4,6
Guerrero,Ixcateopan de Cuauhtémoc,5.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Zihuatanejo de Azueta,27.00,16.00,0.00,"1,455.42",90.96,2019,4,6
Guerrero,Leonardo Bravo,36.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Mártir de Cuilapan,480.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Mochitlán,27.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Pilcaya,35.80,7.00,0.00,392.30,56.04,2019,4,6
Guerrero,Quechultenango,13.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Taxco de Alarcón,15.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Técpan de Galeana,5.00,5.00,0.00,458.25,91.65,2019,4,6
Guerrero,Teloloapan,49.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Tetipac,32.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Tixtla de Guerrero,507.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Zitlala,49.00,0.00,0.00,0.00,0,2019,4,6
Guerrero,Eduardo Neri,96.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Acatic,"1,160.00",100.00,0.00,"8,440.00",84.40,2019,4,6
Jalisco,Acatlán de Juárez,398.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Ahualulco de Mercado,703.00,86.00,0.00,"8,250.00",95.93,2019,4,6
Jalisco,Amacueca,77.43,0.00,0.00,0.00,0,2019,4,6
Jalisco,Amatitán,"1,545.00",55.00,0.00,"5,430.00",98.73,2019,4,6
Jalisco,Ameca,480.00,30.00,0.00,"2,950.00",98.33,2019,4,6
Jalisco,San Juanito de Escobedo,673.00,80.00,0.00,"6,870.00",85.88,2019,4,6
Jalisco,Arandas,"12,505.00",496.00,0.00,"42,713.00",86.11,2019,4,6
Jalisco,El Arenal,327.00,45.00,0.00,"4,175.00",92.78,2019,4,6
Jalisco,Atengo,425.00,41.00,0.00,"2,854.00",69.61,2019,4,6
Jalisco,Atenguillo,23.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Atotonilco El Alto,"2,107.00",93.00,0.00,"8,670.37",93.23,2019,4,6
Jalisco,Atoyac,10.83,0.00,0.00,0.00,0,2019,4,6
Jalisco,Autlán de Navarro,724.00,25.00,0.00,"1,955.75",78.23,2019,4,6
Jalisco,Ayotlán,533.00,100.00,0.00,"8,750.00",87.50,2019,4,6
Jalisco,Ayutla,135.00,9.00,0.00,650.88,72.32,2019,4,6
Jalisco,La Barca,681.00,83.00,0.00,"7,367.40",88.76,2019,4,6
Jalisco,Cabo Corrientes,180.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Zapotlán el Grande,170.23,0.00,0.00,0.00,0,2019,4,6
Jalisco,Cocula,366.00,58.00,0.00,"5,420.00",93.45,2019,4,6
Jalisco,Colotlán,18.40,0.00,0.00,0.00,0,2019,4,6
Jalisco,Cuquío,744.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Chapala,31.00,3.25,0.00,291.20,89.60,2019,4,6
Jalisco,Degollado,435.00,95.00,0.00,"8,770.00",92.32,2019,4,6
Jalisco,Ejutla,33.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Encarnación de Díaz,130.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Etzatlán,331.00,45.00,0.00,"4,011.00",89.13,2019,4,6
Jalisco,El Grullo,110.50,5.00,0.00,381.35,76.27,2019,4,6
Jalisco,Guachinango,118.00,7.00,0.00,675.00,96.43,2019,4,6
Jalisco,Hostotipaquillo,353.00,46.00,0.00,"4,520.00",98.26,2019,4,6
Jalisco,Ixtlahuacán de Los Membrillos,100.00,2.50,0.00,220.00,88.00,2019,4,6
Jalisco,Ixtlahuacán del Río,170.00,0.00,0.00,0.00,0,2019,4,6
Jalisco,Jamay,394.00,104.00,0.00,"8,712.18",83.77,2019,4,6
