Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Michoacán,Purépero,921.74,518.74,0.00,"2,820.00",5.44,2019,6,7
Michoacán,Queréndaro,32.00,18.00,0.00,88.00,4.89,2019,6,7
Michoacán,Quiroga,213.00,193.00,0.00,954.00,4.94,2019,6,7
Michoacán,Los Reyes,"6,312.00","6,250.00",0.00,"41,030.00",6.56,2019,6,7
Michoacán,Sahuayo,10.00,10.00,0.00,45.00,4.50,2019,6,7
Michoacán,Salvador Escalante,"16,483.00","16,005.00",0.00,"89,011.00",5.56,2019,6,7
Michoacán,Susupuato,203.30,38.10,0.00,184.13,4.83,2019,6,7
Michoacán,Tacámbaro,"16,995.00","16,709.00",0.00,"78,576.00",4.70,2019,6,7
Michoacán,Tancítaro,"23,650.00","23,650.00",0.00,"113,400.00",4.79,2019,6,7
Michoacán,Tangamandapio,"3,056.00","2,337.00",0.00,"13,410.00",5.74,2019,6,7
Michoacán,Tangancícuaro,"2,140.56","1,812.88",0.00,"9,870.00",5.44,2019,6,7
Michoacán,Tanhuato,10.00,2.00,0.00,7.50,3.75,2019,6,7
Michoacán,Taretan,"1,850.00","1,850.00",0.00,"12,259.00",6.63,2019,6,7
Michoacán,Tarímbaro,2.00,2.00,0.00,8.75,4.38,2019,6,7
Michoacán,Tepalcatepec,17.00,0.00,0.00,0.00,0,2019,6,7
Michoacán,Tingambato,"4,600.00","4,600.00",0.00,"28,300.00",6.15,2019,6,7
Michoacán,Tingüindín,"5,605.00","5,529.00",0.00,"36,380.00",6.58,2019,6,7
Michoacán,Tlazazalca,270.00,180.00,0.00,"1,030.00",5.72,2019,6,7
Michoacán,Tocumbo,"1,010.00","1,001.00",0.00,"7,450.00",7.44,2019,6,7
Michoacán,Turicato,"6,332.00","5,675.00",0.00,"24,560.00",4.33,2019,6,7
Michoacán,Tuxpan,380.00,253.90,0.00,"1,892.45",7.45,2019,6,7
Michoacán,Tuzantla,18.00,18.00,0.00,105.00,5.83,2019,6,7
Michoacán,Tzintzuntzan,54.00,37.00,0.00,235.42,6.36,2019,6,7
Michoacán,Tzitzio,54.00,44.00,0.00,235.50,5.35,2019,6,7
Michoacán,Uruapan,"16,200.00","16,200.00",0.00,"82,050.00",5.06,2019,6,7
Michoacán,Vista Hermosa,2.00,0.00,0.00,0.00,0,2019,6,7
Michoacán,Yurécuaro,7.00,2.00,0.00,8.00,4.00,2019,6,7
Michoacán,Zacapu,"3,850.00","2,662.00",0.00,"6,500.00",2.44,2019,6,7
Michoacán,Zinapécuaro,190.00,99.00,0.00,378.90,3.83,2019,6,7
Michoacán,Ziracuaretiro,"4,950.00","4,950.00",0.00,"28,920.00",5.84,2019,6,7
Michoacán,Zitácuaro,"1,325.00",401.30,0.00,"2,494.37",6.22,2019,6,7
Morelos,Ayala,7.00,5.00,0.00,37.50,7.50,2019,6,7
Morelos,Cuernavaca,215.50,0.00,0.00,0.00,0,2019,6,7
Morelos,Huitzilac,19.50,6.00,0.00,24.00,4.00,2019,6,7
Morelos,Ocuituco,"2,053.00",405.00,0.00,"1,747.50",4.31,2019,6,7
Morelos,Tepalcingo,4.00,2.00,0.00,15.20,7.60,2019,6,7
Morelos,Tepoztlán,84.00,46.00,0.00,331.20,7.20,2019,6,7
Morelos,Tetela del Volcán,"1,838.00",452.00,0.00,"2,185.00",4.83,2019,6,7
Morelos,Tlalnepantla,445.00,210.00,0.00,"1,722.00",8.20,2019,6,7
Morelos,Tlayacapan,75.00,45.00,0.00,225.00,5.00,2019,6,7
Morelos,Totolapan,456.00,110.00,0.00,792.00,7.20,2019,6,7
Morelos,Yautepec,15.00,9.00,0.00,71.30,7.92,2019,6,7
Morelos,Yecapixtla,514.00,90.00,0.00,354.60,3.94,2019,6,7
Morelos,Zacualpan,107.00,48.00,0.00,335.00,6.98,2019,6,7
Nayarit,Ahuacatlán,54.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,Amatlán de Cañas,11.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,Compostela,34.50,0.00,0.00,0.00,0,2019,6,7
Nayarit,Ixtlán del Río,21.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,Jala,413.50,0.00,0.00,0.00,0,2019,6,7
Nayarit,Xalisco,"3,004.27",0.00,0.00,0.00,0,2019,6,7
Nayarit,Ruíz,6.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,San Blas,807.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,San Pedro Lagunillas,311.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,Santa María del Oro,204.00,0.00,0.00,0.00,0,2019,6,7
Nayarit,Tepic,"2,742.79",0.00,0.00,0.00,0,2019,6,7
Nayarit,Bahía de Banderas,2.00,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Aramberri,346.00,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Bustamante,17.30,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Cadereyta Jiménez,4.50,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Galeana,12.00,0.00,0.00,0.00,0,2019,6,7
Nuevo León,General Zaragoza,73.00,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Rayones,197.00,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Sabinas Hidalgo,33.50,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Santa Catarina,0.90,0.00,0.00,0.00,0,2019,6,7
Nuevo León,Villaldama,5.30,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Abejones,3.50,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Asunción Cacalotepec,28.79,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Asunción Cuyotepeji,1.50,1.00,0.00,2.40,2.40,2019,6,7
Oaxaca,Concepción Pápalo,37.50,29.50,0.00,36.53,1.24,2019,6,7
Oaxaca,Cuilápam de Guerrero,11.50,5.50,0.00,14.17,2.58,2019,6,7
Oaxaca,Cuyamecalco Villa de Zaragoza,37.50,25.50,0.00,30.86,1.21,2019,6,7
Oaxaca,Chiquihuitlán de Benito Juárez,15.25,8.25,0.00,11.33,1.37,2019,6,7
Oaxaca,Heroica Ciudad de Ejutla de Crespo,41.00,18.00,0.00,91.90,5.11,2019,6,7
Oaxaca,Eloxochitlán de Flores Magón,4.00,4.00,0.00,5.92,1.48,2019,6,7
Oaxaca,Tamazulápam del Espíritu Santo,72.25,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Villa Hidalgo,6.00,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Heroica Ciudad de Huajuapan de León,3.50,2.00,0.00,4.60,2.30,2019,6,7
Oaxaca,Huautepec,4.00,4.00,0.00,6.12,1.53,2019,6,7
Oaxaca,Huautla de Jiménez,37.00,29.50,0.00,33.73,1.14,2019,6,7
Oaxaca,Ixtlán de Juárez,9.00,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Magdalena Apasco,12.00,3.00,0.00,6.94,2.31,2019,6,7
Oaxaca,Magdalena Mixtepec,21.50,6.00,0.00,12.21,2.04,2019,6,7
Oaxaca,Magdalena Peñasco,6.00,0.00,0.00,0.00,0,2019,6,7
Oaxaca,Mazatlán Villa de Flores,266.50,225.00,0.00,333.68,1.48,2019,6,7
Oaxaca,Miahuatlán de Porfirio Díaz,6.50,0.00,0.00,0.00,0,2019,6,7
